3679
Date,Open,High,Low,Close,Volume,Trading Value
7/9,444.0,454.0,438.0,451.0,755200.0,451.0
7/8,467.0,472.0,450.0,452.0,535100.0,452.0
7/7,464.0,477.0,457.0,466.0,520300.0,466.0
7/6,471.0,474.0,456.0,469.0,588800.0,469.0
7/5,458.0,488.0,458.0,473.0,1850900.0,473.0
7/2,440.0,458.0,432.0,456.0,1046300.0,456.0
7/1,426.0,441.0,421.0,436.0,1000600.0,436.0
6/30,429.0,432.0,418.0,418.0,261700.0,418.0
6/29,420.0,436.0,417.0,429.0,477400.0,429.0
6/28,421.0,421.0,414.0,420.0,209500.0,420.0
6/25,420.0,422.0,417.0,419.0,167300.0,419.0
6/24,420.0,424.0,415.0,419.0,227700.0,419.0
6/23,424.0,432.0,421.0,421.0,214300.0,421.0
6/22,411.0,426.0,411.0,423.0,325500.0,423.0
6/21,413.0,413.0,398.0,403.0,409300.0,403.0
6/18,430.0,433.0,420.0,421.0,320700.0,421.0
6/17,431.0,439.0,426.0,426.0,389600.0,426.0
6/16,433.0,443.0,428.0,436.0,515500.0,436.0
6/15,425.0,439.0,421.0,438.0,513800.0,438.0
6/14,417.0,427.0,411.0,427.0,337000.0,427.0
6/11,417.0,419.0,414.0,416.0,294300.0,416.0
6/10,405.0,416.0,404.0,415.0,289100.0,415.0
6/9,410.0,416.0,402.0,402.0,625200.0,402.0
6/8,400.0,410.0,399.0,408.0,394000.0,408.0
6/7,406.0,407.0,400.0,403.0,193900.0,403.0
